contrast,phi_total,basic,dual
brine/dry,0.05,1.0396228952510302,1.0350344466473849
oil/dry,0.05,1.0094214056006594,1.008334820458643
brine/oil,0.05,1.0299196049170358,1.0264789290690144
brine/dry,0.052500000000000005,1.0415981706880957,1.0368812106635372
oil/dry,0.052500000000000005,1.009880286138505,1.0087653779988093
brine/oil,0.052500000000000005,1.031407568783099,1.0278715281847837
brine/dry,0.055,1.0435733274363617,1.0387286228198687
oil/dry,0.055,1.0103381718022293,1.0091952513417417
brine/oil,0.055,1.0328950806390378,1.029264279076682
brine/dry,0.0575,1.0455484262258765,1.0405767360955605
oil/dry,0.0575,1.0107950844670004,1.0096244583255736
brine/oil,0.0575,1.0343821831872104,1.0306572186467433
brine/dry,0.060000000000000005,1.0475235279382167,1.0424256036850243
oil/dry,0.060000000000000005,1.0112510458918051,1.0100530167309592
brine/oil,0.060000000000000005,1.0358689191905095,1.0320503839084003
brine/dry,0.0625,1.049498693613245,1.0442752790037413
oil/dry,0.0625,1.011706077722941,1.0104809442835303
brine/oil,0.0625,1.037355331476672,1.0334438119901137
brine/dry,0.065,1.0514739844559224,1.046125815694161
oil/dry,0.065,1.0121602014974715,1.0109082586563392
brine/oil,0.065,1.0388414629426121,1.0348375401390348
brine/dry,0.0675,1.0534494618431685,1.0479772676316652
oil/dry,0.0675,1.0126134386466528,1.0113349774722917
brine/oil,0.0675,1.0403273565587798,1.036231605724699
brine/dry,0.07,1.055425187330778,1.0498296889305927
oil/dry,0.07,1.0130658104993289,1.011761118306572
brine/oil,0.07,1.0418130553735405,1.0376260462427513
brine/dry,0.07250000000000001,1.057401222660397,1.0516831339503274
oil/dry,0.07250000000000001,1.013517338285302,1.012186698689052
brine/oil,0.07250000000000001,1.043298602517584,1.0390208993187027
brine/dry,0.07500000000000001,1.0593776297665485,1.0535376573014594
oil/dry,0.07500000000000001,1.0139680431386713,1.0126117361066997
brine/oil,0.07500000000000001,1.0447840412083549,1.0404162027117245
brine/dry,0.0775,1.0613544707837268,1.0553933138520042
oil/dry,0.0775,1.0144179461011484,1.0130362480059727
brine/oil,0.0775,1.046269414754516,1.0418119943184716
brine/dry,0.08,1.0633318080535468,1.0572501587337024
oil/dry,0.08,1.0148670681253464,1.0134602517952076
brine/oil,0.08,1.047754766560436,1.0432083121769473
brine/dry,0.0825,1.06530970413196,1.0591082473483822
oil/dry,0.0825,1.015315430078045,1.013883764847002
brine/oil,0.0825,1.04924014013071,1.0446051944703982
brine/dry,0.085,1.0672882217965345,1.0609676353744015
oil/dry,0.085,1.0157630527434325,1.0143068045005914
brine/oil,0.085,1.0507255790747063,1.0460026795312531
brine/dry,0.0875,1.0692674240538014,1.0628283787731607
oil/dry,0.0875,1.016209956826327,1.0147293880642176
brine/oil,0.0875,1.052211127111149,1.047400805845094
brine/dry,0.09,1.071247374146673,1.0646905337956936
oil/dry,0.09,1.0166561629553754,1.0151515328174958
brine/oil,0.09,1.0536968280727312,1.0487996120546705
brine/dry,0.0925,1.073228135561928,1.0665541569893364
oil/dry,0.0925,1.0171016916862332,1.0155732560137751
brine/oil,0.0925,1.055182725910763,1.050199136963951
brine/dry,0.095,1.0752097720377745,1.0684193052044795
oil/dry,0.095,1.0175465635047252,1.0159945748824988
brine/oil,0.095,1.0566688646998528,1.0515994195422191
brine/dry,0.0975,1.077192347571483,1.0702860356013981
oil/dry,0.0975,1.0179907988299883,1.0164155066315572
brine/oil,0.0975,1.0581552886426255,1.0530004989282091
brine/dry,0.1,1.0791759264271026,1.0721544056571686
oil/dry,0.1,1.0184344180175995,1.0168360684496436
brine/oil,0.1,1.059642042074479,1.0544024144342836
brine/dry,0.10250000000000001,1.08116057314325,1.074024473172671
oil/dry,0.10250000000000001,1.0188774413626833,1.0172562775086045
brine/oil,0.10250000000000001,1.061129169468378,1.0558052055506595
brine/dry,0.10500000000000001,1.083146352540986,1.0758962962796788
oil/dry,0.10500000000000001,1.019319889103011,1.0176761509657914
brine/oil,0.10500000000000001,1.0626167154396853,1.0572089119496761
brine/dry,0.10750000000000001,1.0851333297317711,1.0777699334480413
oil/dry,0.10750000000000001,1.0197617814220803,1.0180957059664153
brine/oil,0.10750000000000001,1.064104724751038,1.0586135734901083
brine/dry,0.11,1.0871215701255108,1.0796454434929552
oil/dry,0.11,1.0202031384521857,1.018514959645894
brine/oil,0.11,1.0655932423172618,1.0600192302215319
brine/dry,0.1125,1.0891111394386874,1.0815228855823311
oil/dry,0.1125,1.0206439802774758,1.01893392913221
brine/oil,0.1125,1.06708231321033,1.0614259223887321
brine/dry,0.115,1.0911021037025794,1.0834023192442583
oil/dry,0.115,1.0210843269369994,1.019352631548264
brine/oil,0.115,1.0685719826643663,1.0628336904361657
brine/dry,0.11750000000000001,1.0930945292715808,1.0852838043745658
oil/dry,0.11750000000000001,1.0215241984277432,1.0197710840142329
brine/oil,0.11750000000000001,1.0700622960806934,1.0642425750124707
brine/dry,0.12000000000000001,1.0950884828316099,1.0871674012444865
oil/dry,0.12000000000000001,1.021963614707659,1.0201893036499339
brine/oil,0.12000000000000001,1.0715532990329297,1.0656526169750309
brine/dry,0.1225,1.0970840314086179,1.0890531705084232
oil/dry,0.1225,1.0224025956986837,1.0206073075771893
brine/oil,0.1225,1.0730450372721312,1.067063857394591
brine/dry,0.125,1.0990812423771978,1.0909411732118208
oil/dry,0.125,1.022841161289753,1.0210251129221968
brine/oil,0.125,1.0745375567319855,1.068476337559928
brine/dry,0.1275,1.1010801834692963,1.092831470799145
oil/dry,0.1275,1.023279331339808,1.021442736817907
brine/oil,0.1275,1.076030903534054,1.069890098982577
brine/dry,0.13,1.10308092278303,1.0947241251219733
oil/dry,0.13,1.023717125680796,1.0218601964064051
brine/oil,0.13,1.0775251239930712,1.071305183401614
brine/dry,0.1325,1.1050835287916123,1.096619198447198
oil/dry,0.1325,1.0241545641206704,1.0222775088413014
brine/oil,0.1325,1.0790202646222904,1.072721632788497
brine/dry,0.135,1.1070880703523887,1.0985167534653446
oil/dry,0.135,1.024591666446385,1.0226946912901282
brine/oil,0.135,1.080516372138891,1.0741394893519658
brine/dry,0.1375,1.1090946167159845,1.1004168532990082
oil/dry,0.1375,1.0250284524268847,1.0231117609367455
brine/oil,0.1375,1.0820134934694374,1.0755587955430044
brine/dry,0.14,1.111103237535574,1.1023195615114096
oil/dry,0.14,1.0254649418160984,1.0235287349837554
brine/oil,0.14,1.0835116757553993,1.0769795940598625
brine/dry,0.14250000000000002,1.1131140028762627,1.104224942115077
oil/dry,0.14250000000000002,1.02590115435593,1.0239456306549268
brine/oil,0.14250000000000002,1.0850109663587284,1.0784019278531445
brine/dry,0.14500000000000002,1.1151269832245974,1.106133059580651
oil/dry,0.14500000000000002,1.02633710977925,1.024362465197631
brine/oil,0.14500000000000002,1.086511412867498,1.0798258401309577
brine/dry,0.14750000000000002,1.117142249498196,1.1080439788458212
oil/dry,0.14750000000000002,1.0267728278128878,1.0247792558852877
brine/oil,0.14750000000000002,1.088013063101604,1.0812513743641332
brine/dry,0.15000000000000002,1.1191598730555101,1.109957765324393
oil/dry,0.15000000000000002,1.027208328180629,1.0251960200198242
brine/oil,0.15000000000000002,1.0895159651185304,1.0826785742915095
brine/dry,0.15250000000000002,1.121179925705716,1.111874484915489
oil/dry,0.15250000000000002,1.0276436306062144,1.0256127749341453
brine/oil,0.15250000000000002,1.0910201672191786,1.084107483925288
brine/dry,0.155,1.123202479718741,1.1137942040128883
oil/dry,0.155,1.028078754816343,1.0260295379946194
brine/oil,0.155,1.092525717953768,1.0855381475564587
brine/dry,0.1575,1.1252276078354275,1.1157169895145083
oil/dry,0.1575,1.028513720543683,1.0264463266035773
brine/oil,0.1575,1.094032666127799,1.086970609760298
brine/dry,0.16,1.1272553832778391,1.117642908832029
oil/dry,0.16,1.0289485475298865,1.0268631582018266
brine/oil,0.16,1.0955410608080938,1.0884049154019408
brine/dry,0.1625,1.1292858797597092,1.1195720299006628
oil/dry,0.1625,1.0293832555286133,1.027280050271183
brine/oil,0.1625,1.0970509513289035,1.0898411096420266
brine/dry,0.165,1.1313191714970379,1.1215044211890794
oil/dry,0.165,1.0298178643085636,1.0276970203370146
brine/oil,0.165,1.0985623872980919,1.0912792379424263
brine/dry,0.1675,1.1333553332188424,1.1234401517094799
oil/dry,0.1675,1.0302523936565169,1.028114085970809
brine/oil,0.1675,1.1000754186033948,1.0927193460720441
brine/dry,0.16999999999999998,1.135394440178058,1.1253792910278317
oil/dry,0.16999999999999998,1.030686863380386,1.0285312647927563
brine/oil,0.16999999999999998,1.1015900954187563,1.0941614801127022
brine/dry,0.1725,1.1374365681626037,1.127321909274261
oil/dry,0.1725,1.0311212933122789,1.0289485744743476
brine/oil,0.1725,1.1031064682107454,1.0956056864651071
brine/dry,0.175,1.1394817935066046,1.1292680771536132
oil/dry,0.175,1.0315557033115734,1.0293660327410026
brine/oil,0.175,1.1046245877450527,1.0970520118548994
brine/dry,0.1775,1.141530193101784,1.131217865956179
oil/dry,0.1775,1.0319901132680087,1.029783657374707
brine/oil,0.1775,1.1061445050930712,1.0985005033387931
brine/dry,0.18,1.1435818444090238,1.133171347568593
oil/dry,0.18,1.0324245431047852,1.0302014662166814
brine/oil,0.18,1.1076662716385626,1.0999512083107963
brine/dry,0.1825,1.1456368254701006,1.135128594484908
oil/dry,0.1825,1.032859012781686,1.030619477170066
brine/oil,0.1825,1.1091899390844087,1.1014041745085286
brine/dry,0.185,1.1476952149196005,1.1370896798178505
oil/dry,0.185,1.0332935422982112,1.0310377082026332
brine/oil,0.185,1.1107155594594555,1.102859450019625
brine/dry,0.1875,1.149757091997013,1.1390546773102563
oil/dry,0.1875,1.0337281516967318,1.0314561773495203
brine/oil,0.1875,1.1122431851254457,1.1043170832882365
brine/dry,0.19,1.151822536559017,1.1410236613466989
oil/dry,0.19,1.0341628610656606,1.0318749027159932
brine/oil,0.19,1.1137728687840454,1.1057771231216262
brine/dry,0.1925,1.1538916290919525,1.142996706965305
oil/dry,0.1925,1.0345976905426433,1.0322939024802311
brine/oil,0.1925,1.1153046634839674,1.1072396186968603
brine/dry,0.195,1.155964450724494,1.144973889869771
oil/dry,0.195,1.0350326603177724,1.0327131948961408
brine/oil,0.195,1.1168386226281917,1.1087046195676042
brine/dry,0.1975,1.1580410832405186,1.1469552864415764
oil/dry,0.1975,1.035467790636821,1.0331327982962
brine/oil,0.1975,1.1183747999812856,1.110172175671015
brine/dry,0.2,1.160121609092181,1.148940973752406
oil/dry,0.2,1.0359031018044993,1.0335527310943269
brine/oil,0.2,1.1199132496768263,1.1116423373347442
brine/dry,0.2025,1.162206111413203,1.150931029576779
oil/dry,0.2025,1.0363386141877373,1.0339730117887835
brine/oil,0.2025,1.1214540262249306,1.1131151552840408
brine/dry,0.20500000000000002,1.1642946740323696,1.1529255324048966
oil/dry,0.20500000000000002,1.036774348218992,1.034393658965108
brine/oil,0.20500000000000002,1.1229971845198876,1.1145906806489685
brine/dry,0.20750000000000002,1.1663873814872514,1.1549245614557055
oil/dry,0.20750000000000002,1.0372103243995805,1.0348146912990783
brine/oil,0.20750000000000002,1.1245427798479048,1.1160689649717328
brine/dry,0.21000000000000002,1.1684843190381506,1.1569281966901885
oil/dry,0.21000000000000002,1.0376465633030414,1.0352361275597124
brine/oil,0.21000000000000002,1.126090867894966,1.1175500602141195
brine/dry,0.21250000000000002,1.1705855726822754,1.1589365188248844
oil/dry,0.21250000000000002,1.0380830855785266,1.0356579866123001
brine/oil,0.21250000000000002,1.1276415047547999,1.1190340187650516
brine/dry,0.21500000000000002,1.1726912291681506,1.1609496093456433
oil/dry,0.21500000000000002,1.038519911954219,1.036080287421471
brine/oil,0.21500000000000002,1.1291947469369719,1.1205208934482664
brine/dry,0.21750000000000003,1.1748013760102736,1.1629675505216208
oil/dry,0.21750000000000003,1.0389570632407876,1.0365030490542984
brine/oil,0.21750000000000003,1.1307506513750922,1.1220107375301098
brine/dry,0.22000000000000003,1.1769161015040115,1.1649904254195211
oil/dry,0.22000000000000003,1.03939456033487,1.0369262906834444
brine/oil,0.22000000000000003,1.1323092754351487,1.1235036047274574
brine/dry,0.22250000000000003,1.1790354947407564,1.1670183179180875
oil/dry,0.22250000000000003,1.039832424222592,1.0373500315903381
brine/oil,0.22250000000000003,1.1338706769239637,1.1249995492157625
brine/dry,0.22500000000000003,1.1811596456233342,1.1690513127228552
oil/dry,0.22500000000000003,1.0402706759831215,1.0377742911683985
brine/oil,0.22500000000000003,1.135434914097779,1.1264986256372336
brine/dry,0.22749999999999998,1.1832886448816833,1.1710894953811621
oil/dry,0.22749999999999998,1.0407093367922573,1.0381990889262975
brine/oil,0.22749999999999998,1.137002045670978,1.1280008891091393
brine/dry,0.22999999999999998,1.185422584088803,1.1731329522974352
oil/dry,0.22999999999999998,1.041148427926061,1.038624444491264
brine/oil,0.22999999999999998,1.1385721308249317,1.1295063952322593
brine/dry,0.23249999999999998,1.1875615556769767,1.1751817707487469
oil/dry,0.23249999999999998,1.04158797076452,1.0390503776124342
brine/oil,0.23249999999999998,1.1401452292169934,1.1310152000994602
brine/dry,0.235,1.1897056529542838,1.1772360389006553
oil/dry,0.235,1.0420279867952609,1.0394769081642434
brine/oil,0.235,1.1417214009896253,1.1325273603044244
brine/dry,0.2375,1.1918549701214007,1.1792958458233347
oil/dry,0.2375,1.0424684976172955,1.0399040561498698
brine/oil,0.2375,1.1433007067796757,1.1340429329505144
brine/dry,0.24,1.194009602288698,1.181361281507999
oil/dry,0.24,1.0429095249448181,1.040331841704719
brine/oil,0.24,1.1448832077277986,1.1355619756597903
brine/dry,0.2425,1.1961696454936463,1.1834324368836298
oil/dry,0.2425,1.0433510906110444,1.0407602850999642
brine/oil,0.2425,1.146468965488025,1.1370845465821768
brine/dry,0.245,1.1983351967185305,1.185509403834009
oil/dry,0.245,1.0437932165720942,1.0411894067461325
brine/oil,0.245,1.1480580422374898,1.1386107044047802
brine/dry,0.2475,1.2005063539084886,1.1875922752150745
oil/dry,0.2475,1.0442359249109292,1.041619227196744
brine/oil,0.2475,1.1496505006863165,1.1401405083613714
brine/dry,0.25,1.202683215989871,1.1896811448725952
oil/dry,0.25,1.0446792378413345,1.0420497671520077
brine/oil,0.25,1.1512464040876575,1.1416740182420213
brine/dry,0.2525,1.204865882888945,1.1917761076601767
oil/dry,0.2525,1.045123177711954,1.0424810474625665
brine/oil,0.2525,1.1528458162479078,1.1432112944029047
brine/dry,0.255,1.2070544555509315,1.1938772594576126
oil/dry,0.255,1.0455677670103785,1.0429130891333043
brine/oil,0.255,1.1544488015370793,1.1447523977762755
brine/dry,0.2575,1.2092490359594004,1.1959846971895731
oil/dry,0.2575,1.0460130283672855,1.0433459133272063
brine/oil,0.2575,1.1560554248993522,1.1462973898806057
brine/dry,0.26,1.2114497271560274,1.1980985188446598
oil/dry,0.26,1.0464589845606425,1.0437795413692823
brine/oil,0.26,1.1576657518638025,1.1478463328309099
brine/dry,0.2625,1.2136566332607128,1.200218823494818
oil/dry,0.2625,1.0469056585199594,1.0442139947505524
brine/oil,0.2625,1.1592798485553073,1.1493992893492417
brine/dry,0.265,1.215869859492084,1.2023457113151228
oil/dry,0.265,1.047353073330608,1.04464929513209
brine/oil,0.265,1.160897781705637,1.1509563227753798
brine/dry,0.2675,1.218089512188383,1.2044792836039484
oil/dry,0.2675,1.047801252238198,1.0450854643491343
brine/oil,0.2675,1.1625196186647362,1.1525174970776983
brine/dry,0.27,1.2203156988287474,1.2066196428035278
oil/dry,0.27,1.0482502186530196,1.0455225244152706
brine/oil,0.27,1.164145427412196,1.1540828768642302
brine/dry,0.2725,1.2225485280549033,1.2087668925209107
oil/dry,0.2725,1.048699996154552,1.0459604975266723
brine/oil,0.2725,1.1657752765689249,1.1556525273939295
brine/dry,0.275,1.2247881096932696,1.2109211375493343
oil/dry,0.275,1.049150608496035,1.0463994060664201
brine/oil,0.275,1.1674092354090253,1.1572265145881315
brine/dry,0.2775,1.2270345547774888,1.2130824838900116
oil/dry,0.2775,1.049602079609115,1.0468392726088904
brine/oil,0.2775,1.1690473738718696,1.1588049050422196
brine/dry,0.28,1.229287975571395,1.2152510387743503
oil/dry,0.28,1.05005443360856,1.0472801199242159
brine/oil,0.28,1.170689762574394,1.160387766037504
brine/dry,0.28250000000000003,1.23154848559243,1.2174269106866134
oil/dry,0.28250000000000003,1.050507694797047,1.0477219709828263
brine/oil,0.28250000000000003,1.1723364728236085,1.1619751655533133
brine/dry,0.28500000000000003,1.233816199635517,1.2196102093870267
oil/dry,0.28500000000000003,1.0509618876700282,1.048164848960062
brine/oil,0.28500000000000003,1.1739875766293246,1.1635671722793075
brine/dry,0.28750000000000003,1.2360912337974022,1.2218010459353545
oil/dry,0.28750000000000003,1.0514170369206721,1.0486087772408743
brine/oil,0.28750000000000003,1.1756431467171133,1.1651638556280142
brine/dry,0.29,1.2383737055014807,1.223999532714945
oil/dry,0.29,1.0518731674448862,1.049053779424602
brine/oil,0.29,1.177303256541494,1.1667652857475996
brine/dry,0.2925,1.2406637335231137,1.22620578345726
oil/dry,0.2925,1.052330304346421,1.0494998793298373
brine/oil,0.2925,1.178967980299363,1.168371533534867
brine/dry,0.295,1.2429614380154508,1.2284199132669038
oil/dry,0.295,1.0527884729420607,1.0499471009993737
brine/oil,0.295,1.1806373929436593,1.169982670648506
brine/dry,0.2975,1.2452669405357715,1.2306420386471606
oil/dry,0.2975,1.053247698766899,1.0503954687052481
brine/oil,0.2975,1.182311570197287,1.1715987695225782
brine/dry,0.3,1.247580364072358,1.2328722775260554
oil/dry,0.3,1.0537080075797045,1.0508450069538724
brine/oil,0.3,1.1839905885672872,1.1732199033802644
